Workflow Name,Tag Name,Tag Conditions
New Service or Third Party Onboarding,Safeguarding = TRUE,MainAssessmentQ33 EQUAL Yes
New Service or Third Party Onboarding,Tier D (TP),"newPurchaseRequestV02-Legal, Security & Technology information-question-6 NOT_EQUAL 91140b22-a9ac-4098-86a7-3c07c6250721 AND newPurchaseRequestV02-Legal, Security & Technology information-question-6 NOT_EQUAL 91140b22-a9ac-4098-86a7-3c07c6250721 AND derivedFields.risk.aggregate EQUAL 0"
New Service or Third Party Onboarding,Materiality Substitutability = Impossible,mainAssessmentBankingQuestion16 EQUAL It is impossible to substitute the service AND MainAssessmentQ71 EQUAL It is impossible to substitute the service
New Service or Third Party Onboarding,Tier B (BP),"derivedFields.risk.aggregate LESS_THAN_OR_EQUAL_TO 59 AND derivedFields.risk.aggregate GREATER_THAN_OR_EQUAL_TO 40 AND newPurchaseRequestV02-Legal, Security & Technology information-question-6 EQUAL 91140b22-a9ac-4098-86a7-3c07c6250721 AND newPurchaseRequestV02-Legal, Security & Technology information-question-6 EQUAL 91140b22-a9ac-4098-86a7-3c07c6250721"
New Service or Third Party Onboarding,Criticality = Tier 3,mainAssessmentBankingQuestion22 EQUAL Likely to create a severity 3 incident AND MainAssessmentQ68 EQUAL Likely to create a severity 3 incident
New Service or Third Party Onboarding,Criticality = Tier 1,mainAssessmentBankingQuestion22 EQUAL Likely to create a severity 1 incident AND MainAssessmentQ68 EQUAL Likely to create a severity 1 incident
New Service or Third Party Onboarding,Materiality Substitutability = Easy,mainAssessmentBanking-MainAssessmentSection4-question-5 EQUAL Easy AND MainAssessmentQ57 EQUAL Easy
New Service or Third Party Onboarding,Materiality Substitutability = Difficult,mainAssessmentBanking-MainAssessmentSection4-question-5 EQUAL Difficult AND MainAssessmentQ57 EQUAL Difficult
New Service or Third Party Onboarding,Outsourcing = Yes,MainAssessmentQ4 CONTAINS Card Settlement & Reco AND MainAssessmentQ7 CONTAINS Compliance Training AND MainAssessmentQ8 CONTAINS Finance Controls AND MainAssessmentQ8 CONTAINS Finance Ledgering AND MainAssessmentQ8 CONTAINS Finance Reporting AND MainAssessmentQ9 CONTAINS Fee Reconciliation AND MainAssessmentQ10 CONTAINS Exposure Management AND MainAssessmentQ10 CONTAINS Rate Gamer Detection AND MainAssessmentQ10 CONTAINS Safeguarding AND MainAssessmentQ1 EQUAL Internal Audit AND MainAssessmentQ12 CONTAINS Open Banking Account Access AND MainAssessmentQ12 CONTAINS Regional Due Diligence Infrastructure AND MainAssessmentQ12 CONTAINS Regional Product Compliance Infrastructure AND MainAssessmentQ13 CONTAINS Payment Processing AND MainAssessmentQ13 CONTAINS RFI Processing AND MainAssessmentQ16 CONTAINS Data Archiving AND MainAssessmentQ19 CONTAINS Incident Management AND MainAssessmentQ19 CONTAINS Logging Infrastructure AND MainAssessmentQ19 CONTAINS Monitoring And Alerting AND MainAssessmentQ20 CONTAINS Backoffice Authorization AND MainAssessmentQ20 CONTAINS Data Privacy & Governance AND MainAssessmentQ20 CONTAINS Security Governance AND MainAssessmentQ20 CONTAINS Threat Management AND MainAssessmentQ1 EQUAL Risk Management AND MainAssessmentQ21 CONTAINS Customer/Transaction Screening AND MainAssessmentQ21 CONTAINS Fincrime Case Handling AND MainAssessmentQ22 CONTAINS Customer Decision Tracking AND MainAssessmentQ22 CONTAINS Fincrime Data Collection And Event Ledger AND MainAssessmentQ22 CONTAINS Fincrime Servicing Platform AND MainAssessmentQ23 CONTAINS Customer Reimbursement AND MainAssessmentQ23 CONTAINS Fraud And Scam Prevention AND MainAssessmentQ24 CONTAINS AML Intelligence AND MainAssessmentQ24 CONTAINS AML Investigations AND MainAssessmentQ24 CONTAINS Due Diligence Rule Engine AND MainAssessmentQ24 CONTAINS Refresh Due Diligence Cycle AND MainAssessmentQ24 CONTAINS SAR Reporting AND MainAssessmentQ24 CONTAINS Surveillance Intelligence AND MainAssessmentQ26 CONTAINS Customer Verification Infrastructure AND MainAssessmentQ26 CONTAINS Perform Enhanced Due Diligence Checks On Customers AND MainAssessmentQ26 CONTAINS Perform Required KYC Checks On Business Customers At Onboarding AND MainAssessmentQ26 CONTAINS Personal Customers Verification At Onboarding AND MainAssessmentQ28 CONTAINS Customer Authorisation AND MainAssessmentQ28 CONTAINS Customer Authentication AND MainAssessmentQ24 CONTAINS Law Enforcement And RFIs AND MainAssessmentQ28 CONTAINS Profile Management AND MainAssessmentQ71 EQUAL Fully move it in-house AND MainAssessmentQ57 EQUAL Instant AND MainAssessmentQ57 EQUAL Easy AND MainAssessmentQ4 CONTAINS Card Disputes / Fraud Prevention AND MainAssessmentQ7 CONTAINS Compliance Oversight (2LOD Compliance) AND MainAssessmentQ17 CONTAINS Continuous Integration / Continuous Delivery AND MainAssessmentQ19 CONTAINS Incident Management AND MainAssessmentQ10 CONTAINS Liquidity Management AND MainAssessmentQ7 CONTAINS Regulatory Product Compliance AND MainAssessmentQ1 CONTAINS Third Party Management AND MainAssessmentQ25 CONTAINS Handle Customer Complaints
New Service or Third Party Onboarding,Tier C (BP),"derivedFields.risk.aggregate LESS_THAN 40 AND derivedFields.risk.aggregate GREATER_THAN_OR_EQUAL_TO 1 AND newPurchaseRequestV02-Legal, Security & Technology information-question-6 EQUAL 91140b22-a9ac-4098-86a7-3c07c6250721 AND newPurchaseRequestV02-Legal, Security & Technology information-question-6 EQUAL 91140b22-a9ac-4098-86a7-3c07c6250721"
New Service or Third Party Onboarding,PII Processed = TRUE,mainAssessmentBankingQuestion10 EQUAL Both AND MainAssessmentQ42 EQUAL Both AND mainAssessmentBankingQuestion10 EQUAL Personal Data AND mainAssessmentBankingQuestion10 EQUAL Personal Data
New Service or Third Party Onboarding,Tier A (TP),"derivedFields.risk.aggregate LESS_THAN_OR_EQUAL_TO 110 AND newPurchaseRequestV02-Legal, Security & Technology information-question-6 NOT_EQUAL 91140b22-a9ac-4098-86a7-3c07c6250721 AND newPurchaseRequestV02-Legal, Security & Technology information-question-6 NOT_EQUAL 91140b22-a9ac-4098-86a7-3c07c6250721 AND derivedFields.risk.aggregate GREATER_THAN_OR_EQUAL_TO 70"
New Service or Third Party Onboarding,BSP - Market Tier 2,"newPurchaseRequestV02-Legal, Security & Technology information-question-6 EQUAL 91140b22-a9ac-4098-86a7-3c07c6250721 AND newPurchaseRequestV02-Legal, Security & Technology information-question-6 EQUAL 91140b22-a9ac-4098-86a7-3c07c6250721 AND mainAssessmentBankingQuestion2 NOT_CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 NOT_CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 NOT_CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 NOT_CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be AND mainAssessmentBankingQuestion2 CONTAINS 23cc210b-1946-4452-9d05-00e5dbdc43be"
New Service or Third Party Onboarding,Criticality = Tier 2,mainAssessmentBankingQuestion22 EQUAL Likely to create a severity 2 incident AND MainAssessmentQ68 EQUAL Likely to create a severity 2 incident
New Service or Third Party Onboarding,Tier A (BP),"derivedFields.risk.aggregate LESS_THAN_OR_EQUAL_TO 110 AND derivedFields.risk.aggregate GREATER_THAN_OR_EQUAL_TO 60 AND newPurchaseRequestV02-Legal, Security & Technology information-question-6 EQUAL 91140b22-a9ac-4098-86a7-3c07c6250721 AND newPurchaseRequestV02-Legal, Security & Technology information-question-6 EQUAL 91140b22-a9ac-4098-86a7-3c07c6250721"
New Service or Third Party Onboarding,Materiality Impact = Low,"MainAssessmentQ68 EQUAL Likely to create a severity 2 incident AND mainAssessmentBankingQuestion22 EQUAL Likely to create a severity 2 incident AND MainAssessmentQ62 EQUAL Yes, only counterparties AND mainAssessmentBankingQuestion21 EQUAL Yes, only counterparties AND mainAssessmentBankingQuestion21 EQUAL No AND MainAssessmentQ62 EQUAL No AND MainAssessmentQ69 NOT_EQUAL Significant impact AND MainAssessmentQ69 NOT_EQUAL High impact AND mainAssessmentBankingQuestion23 NOT_EQUAL Major/Significant impact AND MainAssessmentQ62 EQUAL No AND mainAssessmentBankingQuestion21 EQUAL Yes, only counterparties AND mainAssessmentBankingQuestion21 EQUAL No AND MainAssessmentQ62 EQUAL Yes, only counterparties AND MainAssessmentQ69 NOT_EQUAL Significant impact AND MainAssessmentQ69 NOT_EQUAL High impact AND mainAssessmentBankingQuestion23 NOT_EQUAL Major/Significant impact AND MainAssessmentQ62 EQUAL Yes, only customers AND mainAssessmentBankingQuestion21 EQUAL Yes, only customers AND MainAssessmentQ69 NOT_EQUAL Significant impact AND MainAssessmentQ69 NOT_EQUAL High impact AND MainAssessmentQ69 NOT_EQUAL Moderate impact AND mainAssessmentBankingQuestion23 NOT_EQUAL Major/Significant impact AND mainAssessmentBankingQuestion23 NOT_EQUAL Moderate impact AND MainAssessmentQ68 EQUAL Likely to create a severity 3 incident AND mainAssessmentBankingQuestion22 EQUAL Likely to create a severity 3 incident AND MainAssessmentQ68 EQUAL Not applicable AND mainAssessmentBankingQuestion22 EQUAL Not applicable AND MainAssessmentQ62 EQUAL Yes, only counterparties AND MainAssessmentQ62 EQUAL No AND mainAssessmentBankingQuestion21 EQUAL Yes, only counterparties AND mainAssessmentBankingQuestion21 EQUAL No AND MainAssessmentQ69 NOT_EQUAL Significant impact AND MainAssessmentQ69 NOT_EQUAL High impact AND mainAssessmentBankingQuestion23 NOT_EQUAL Major/Significant impact AND MainAssessmentQ69 NOT_EQUAL Significant impact AND MainAssessmentQ69 NOT_EQUAL High impact AND MainAssessmentQ69 NOT_EQUAL Moderate impact AND mainAssessmentBankingQuestion23 NOT_EQUAL Major/Significant impact AND mainAssessmentBankingQuestion23 NOT_EQUAL Moderate impact AND MainAssessmentQ62 EQUAL Yes, only customers AND MainAssessmentQ62 EQUAL Yes, both AND mainAssessmentBankingQuestion21 EQUAL Yes, both AND mainAssessmentBankingQuestion21 EQUAL Yes, only customers"
New Service or Third Party Onboarding,Materiality Impact = High,"MainAssessmentQ68 EQUAL Likely to create a severity 1 incident AND mainAssessmentBankingQuestion22 EQUAL Likely to create a severity 1 incident AND MainAssessmentQ62 EQUAL Yes, only customers AND MainAssessmentQ62 EQUAL Yes, both AND mainAssessmentBankingQuestion21 EQUAL Yes, only customers AND mainAssessmentBankingQuestion21 EQUAL Yes, both AND MainAssessmentQ68 EQUAL Likely to create a severity 2 incident AND mainAssessmentBankingQuestion22 EQUAL Likely to create a severity 2 incident AND MainAssessmentQ62 EQUAL Yes, both AND mainAssessmentBankingQuestion21 EQUAL Yes, both AND MainAssessmentQ68 EQUAL Likely to create a severity 3 incident AND mainAssessmentBankingQuestion22 EQUAL Likely to create a severity 3 incident AND MainAssessmentQ69 EQUAL Moderate impact AND mainAssessmentBankingQuestion23 EQUAL Moderate impact AND mainAssessmentBankingQuestion21 EQUAL Yes, only customers AND MainAssessmentQ62 EQUAL Yes, only customers AND mainAssessmentBankingQuestion21 EQUAL Yes, both AND MainAssessmentQ62 EQUAL Yes, both AND mainAssessmentBankingQuestion23 EQUAL Major/Significant impact AND MainAssessmentQ69 EQUAL Significant impact AND MainAssessmentQ69 EQUAL High impact"
