Existing Core Data ID,Name
2360e295-eca0-4526-9ece-46b2606af6db,Employee Benefit Trust
c25eb535-475c-4821-a011-c860250b86d7,PT Wise Payments Indonesia
c60bd4ed-2adf-4f42-b016-6918599a0265,Vaho Forex Private Limited
7e2460c2-083f-448f-af8b-8b5075b25b62,Wise Asia-Pacific Pte. Ltd.
74885af3-b7c4-439e-add9-3e107877a60c,Wise Assets Canada Inc.
4bb4bbf9-4609-4c7c-b0f1-e764fd186f14,Wise Assets Europe AS
a4f3f76f-50f1-4cb9-89a4-b2ee014482a5,Wise Assets Nominees Ltd
099933e9-c7a7-40ba-adfa-c629c3c60c38,Wise Assets UK Ltd
1f374f2a-2c21-4264-94b6-7b0801a01cc0,Wise Australia Investments Pty Ltd
33fda405-fd05-4c91-bb06-044a2fd7e729,Wise Australia Pty Ltd
931131e2-2f3f-4af1-9ed3-17f03f8618d6,Wise Brasil Corretora de Câmbio Ltda.
7fb7e5cb-48d6-4061-9ed6-d2dac00a3849,Wise Brasil Instituição de Pagamento Ltda.
2d2c3853-f50d-495b-b34c-723eb766cdf1,Wise Chile SpA
31ef7a4e-5de6-4ba2-9979-2461beaf1ef9,Wise China Ltd
c8af4dd6-8eb0-4aaf-8928-a88081453ed2,Wise Digital Brasil Ltda
aae42202-2b7c-4a1f-b1aa-de65a56af6e1,Wise Europe Eesti filiaal (Wise Europe branch)
3c0157f2-c425-48de-96e3-b70ebcf4bb46,Wise Europe SA
1601ad43-90e9-40f9-916b-e95df0edfe5f,Wise Financial Holdings Ltd
a659b7db-3aa3-4258-91b1-e210a076fe8f,Wise Financial Services Hong Kong Limited
909f3bc9-24a8-4098-aec7-372347f16636,Wise Financing PLC
763a5a07-62ab-425b-9630-e5511ededa42,Wise Fintech Network LLC
567b0a51-e3f4-499c-8b8f-a7cf753f16a3,Wise ILS Ltd
f79ea56d-1cd0-4836-9b64-9525a174b4f9,Wise Investments Holdings Ltd
0c0667e9-42a8-484c-b7fb-e27c4a3c8166,Wise Malaysia Assets Sdn. Bhd.
b3777d9b-c509-4d14-acce-11725374947e,Wise National Trust
836ac455-1291-4e51-8ef9-5f4792511971,Wise NewCo Holdings Limited
dbf177c9-18bf-4ac7-9bfe-9ca59292ca0a,Wise NewCo Limited
452e2c92-1d16-46d5-9b12-85e001eba346,WISE Nuqud Ltd
e75e1972-c208-4408-bb13-2a010ab68a3c,"Wise Pagos México, S.A. de C.V."
02dee84b-4c33-4023-a8b4-73835c5a3c2f,Wise Payments Canada Inc.
762c6e4f-a46e-4a0d-9b8c-65fa7b7ea85d,Wise Payments Holdings (Thailand) Limited
81686e31-f4df-450b-8696-862736b6f840,Wise Payments Hong Kong Limited
5bc689bc-4cf0-4626-9d26-252f79040be0,Wise Payments India Private Limited
15e83765-21c4-493d-9f11-0614cd93c578,Wise Payments Japan K.K.
88fb108c-1407-4b5e-930f-9faf0b5361bc,Wise Payments Korea Limited
b8ba98a2-b361-4df1-871b-de0f9e0c79e3,Wise Payments Limited
7ca98d9f-e701-41f6-b641-ea9d66a11eac,Wise Payments Limited Eesti Filiaal (WPL Branch)
41658746-2ab2-4a1e-b4c5-1e50c2aaebff,Wise Payments Limited Magyarországi Fióktelepe (WPL Branch)
1a754a64-93fa-418c-b306-5a83b8938fbd,Wise Payments Limited - Netherlands (WPL Branch)
dba3a7bf-5714-4750-8935-22abbdf561dc,"Wise Payments Limited, Sucursal en España (WPL Branch)"
b1039d8d-f961-41f8-bcfe-9dd226c93700,Wise Payments Ltd. - Hong Kong (WPL Branch)
0a1e64a0-41c0-4f1e-a755-303ba8865218,Wise Payments Malaysia Sdn. Bhd.
f91c446e-fa68-4797-93e6-cec4ec5f922c,Wise Payments New Zealand Ltd.
9abce671-82a1-45db-9981-742a2c69e1cb,Wise Payments South Africa (Pty) Ltd
270edec4-a268-4df3-9a70-a59596b1044e,Wise Payments (Thailand) Limited
bfcdab47-f7cb-4332-b7f6-a763b46f8e06,Wise Pilipinas Inc.
f151fead-1964-454f-9a5b-860c548e8421,Wise PLC
e335e344-8575-404c-8894-bca8b6e5e8d8,Wise Singapore Assets Pte. Ltd.
ab555f50-42bc-4bcc-9fcf-301e29087983,Wise Switzerland AG
bf55cf82-6b6f-4fb2-8660-c10b4cd13a25,Wise US Assets Inc
6270773a-467b-4fa9-96a3-e6c158fd2feb,Wise US Holdings Inc
f6a5d6d3-ce22-4a4c-a676-ff81777f2dce,Wise US Inc